Date,Cash,Stock Value,Option Value,Short Value,Account Value
1/21/2026,"-$205,885.58","$519,474.60",$0.00,$0.00,"$313,589.02"
1/20/2026,"-$205,885.58","$526,860.87",$0.00,$0.00,"$320,975.28"
1/17/2026,"-$205,885.58","$526,823.22",$0.00,$0.00,"$320,937.63"
1/16/2026,"-$205,885.58","$530,557.64",$0.00,$0.00,"$324,672.05"
1/15/2026,"-$205,885.58","$531,768.47",$0.00,$0.00,"$325,882.89"
1/14/2026,"-$205,885.58","$531,410.83",$0.00,$0.00,"$325,525.25"
1/13/2026,"-$205,885.58","$521,910.70",$0.00,$0.00,"$316,025.11"
1/10/2026,"-$205,885.58","$518,249.64",$0.00,$0.00,"$312,364.06"
1/09/2026,"-$205,885.58","$512,293.90",$0.00,$0.00,"$306,408.32"
1/08/2026,"-$205,885.58","$508,898.34",$0.00,$0.00,"$303,012.75"
1/07/2026,"-$205,885.58","$509,051.05",$0.00,$0.00,"$303,165.47"
1/06/2026,"-$205,885.58","$511,086.80",$0.00,$0.00,"$305,201.22"
1/03/2026,"-$205,885.58","$507,818.44",$0.00,$0.00,"$301,932.86"
1/02/2026,"-$205,885.58","$500,356.03",$0.00,$0.00,"$294,470.44"
1/01/2026,"-$206,541.58","$500,373.78",$0.00,$0.00,"$293,832.19"
12/31/2025,"-$206,541.58","$497,918.35",$0.00,$0.00,"$291,376.77"
12/30/2025,"-$206,541.58","$498,061.38",$0.00,$0.00,"$291,519.80"
12/27/2025,"-$206,541.58","$498,795.90",$0.00,$0.00,"$292,254.31"
12/26/2025,"-$206,541.58","$495,719.93",$0.00,$0.00,"$289,178.35"
12/25/2025,"-$206,546.17","$495,719.93",$0.00,$0.00,"$289,173.76"
12/24/2025,"-$206,546.17","$491,678.75",$0.00,$0.00,"$285,132.58"
12/23/2025,"-$206,546.17","$487,146.13",$0.00,$0.00,"$280,599.95"
12/20/2025,"-$206,546.17","$487,112.93",$0.00,$0.00,"$280,566.76"
12/19/2025,"-$206,546.17","$491,014.73",$0.00,$0.00,"$284,468.56"
12/18/2025,"-$206,546.17","$486,554.45",$0.00,$0.00,"$280,008.27"
12/17/2025,"-$206,546.17","$499,340.24",$0.00,$0.00,"$292,794.06"
12/16/2025,"-$206,546.17","$501,435.76",$0.00,$0.00,"$294,889.59"
12/13/2025,"-$206,669.83","$502,873.85",$0.00,$0.00,"$296,204.02"
12/12/2025,"-$206,669.83","$511,094.06",$0.00,$0.00,"$304,424.22"
12/11/2025,"-$206,669.83","$513,229.28",$0.00,$0.00,"$306,559.45"
12/10/2025,"-$206,669.83","$507,077.44",$0.00,$0.00,"$300,407.61"
12/09/2025,"-$206,915.93","$506,080.73",$0.00,$0.00,"$299,164.80"
12/06/2025,"-$206,915.93","$512,396.38",$0.00,$0.00,"$305,480.45"
12/05/2025,"-$206,915.93","$509,625.54",$0.00,$0.00,"$302,709.60"
12/04/2025,"-$206,915.93","$512,177.01",$0.00,$0.00,"$305,261.08"
12/03/2025,"-$206,945.67","$509,317.49",$0.00,$0.00,"$302,371.82"
12/02/2025,"-$206,945.67","$507,165.00",$0.00,$0.00,"$300,219.33"
11/29/2025,"-$206,945.67","$504,594.20",$0.00,$0.00,"$297,648.53"
11/28/2025,"-$206,945.67","$500,315.02",$0.00,$0.00,"$293,369.35"
11/27/2025,"-$206,945.67","$500,283.77",$0.00,$0.00,"$293,338.10"
11/26/2025,"-$206,945.67","$496,558.89",$0.00,$0.00,"$289,613.22"
11/25/2025,"-$206,945.67","$495,785.60",$0.00,$0.00,"$288,839.93"
11/22/2025,"-$206,945.67","$483,797.89",$0.00,$0.00,"$276,852.22"
11/21/2025,"-$206,945.67","$477,262.25",$0.00,$0.00,"$270,316.58"
11/20/2025,"-$206,945.67","$490,546.13",$0.00,$0.00,"$283,600.46"
11/19/2025,"-$206,945.67","$486,376.18",$0.00,$0.00,"$279,430.51"
11/18/2025,"-$206,945.67","$491,639.21",$0.00,$0.00,"$284,693.54"
11/15/2025,"-$206,945.67","$494,407.56",$0.00,$0.00,"$287,461.89"
11/14/2025,"-$206,945.67","$498,430.62",$0.00,$0.00,"$291,484.95"
11/13/2025,"-$206,945.67","$505,291.59",$0.00,$0.00,"$298,345.92"
11/12/2025,"-$206,945.67","$502,007.87",$0.00,$0.00,"$295,062.20"
11/11/2025,"-$206,945.67","$502,491.11",$0.00,$0.00,"$295,545.44"
11/08/2025,"-$206,945.67","$491,531.08",$0.00,$0.00,"$284,585.41"
11/07/2025,"-$206,945.67","$494,203.18",$0.00,$0.00,"$287,257.51"
11/06/2025,"-$206,945.67","$503,414.33",$0.00,$0.00,"$296,468.66"
11/05/2025,"-$206,978.92","$498,308.25",$0.00,$0.00,"$291,329.33"
11/04/2025,"-$206,978.92","$512,455.51",$0.00,$0.00,"$305,476.59"
11/01/2025,"-$206,978.92","$514,466.82",$0.00,$0.00,"$307,487.90"
10/31/2025,"-$206,978.92","$516,342.43",$0.00,$0.00,"$309,363.51"
10/30/2025,"-$206,978.92","$522,060.87",$0.00,$0.00,"$315,081.95"
10/29/2025,"-$206,978.92","$518,775.75",$0.00,$0.00,"$311,796.83"
10/28/2025,"-$206,978.92","$516,298.53",$0.00,$0.00,"$309,319.60"
10/25/2025,"-$206,978.92","$507,040.70",$0.00,$0.00,"$300,061.78"
10/24/2025,"-$206,978.92","$498,802.42",$0.00,$0.00,"$291,823.50"
10/23/2025,"-$206,978.92","$492,480.18",$0.00,$0.00,"$285,501.26"
10/22/2025,"-$206,978.92","$494,041.95",$0.00,$0.00,"$287,063.03"
10/21/2025,"-$206,983.02","$497,481.86",$0.00,$0.00,"$290,498.84"
10/18/2025,"-$206,983.02","$491,564.12",$0.00,$0.00,"$284,581.09"
10/17/2025,"-$206,983.02","$488,307.71",$0.00,$0.00,"$281,324.69"
10/16/2025,"-$128,367.42","$413,715.40",$0.00,$0.00,"$285,347.98"
10/15/2025,"-$128,367.42","$404,904.38",$0.00,$0.00,"$276,536.96"
10/14/2025,"-$128,367.42","$410,272.72",$0.00,$0.00,"$281,905.30"
10/11/2025,"-$128,367.42","$399,853.66",$0.00,$0.00,"$271,486.24"
10/10/2025,"-$128,367.42","$417,760.67",$0.00,$0.00,"$289,393.25"
10/09/2025,"-$128,367.42","$420,406.52",$0.00,$0.00,"$292,039.10"
10/08/2025,"-$128,367.42","$414,245.62",$0.00,$0.00,"$285,878.20"
10/07/2025,"-$128,367.42","$417,078.37",$0.00,$0.00,"$288,710.95"
10/04/2025,"-$128,403.29","$409,288.45",$0.00,$0.00,"$280,885.16"
10/03/2025,"-$128,403.29","$413,014.47",$0.00,$0.00,"$284,611.18"
10/02/2025,"-$128,403.29","$407,793.27",$0.00,$0.00,"$279,389.98"
10/01/2025,"-$128,407.88","$400,178.69",$0.00,$0.00,"$271,770.81"
9/30/2025,"-$128,728.48","$399,833.95",$0.00,$0.00,"$271,105.47"
9/27/2025,"-$128,728.48","$398,003.27",$0.00,$0.00,"$269,274.79"
9/26/2025,"-$128,728.48","$396,587.17",$0.00,$0.00,"$267,858.69"
9/25/2025,"-$128,728.48","$394,818.26",$0.00,$0.00,"$266,089.78"
9/24/2025,"-$128,728.48","$392,088.37",$0.00,$0.00,"$263,359.89"
9/23/2025,"-$128,728.48","$393,862.27",$0.00,$0.00,"$265,133.79"
9/20/2025,"-$128,728.48","$391,536.86",$0.00,$0.00,"$262,808.38"
9/19/2025,"-$128,728.48","$392,445.23",$0.00,$0.00,"$263,716.75"
9/18/2025,"-$128,728.48","$383,709.70",$0.00,$0.00,"$254,981.22"
9/17/2025,"-$128,728.48","$386,206.42",$0.00,$0.00,"$257,477.94"
9/16/2025,"-$128,728.48","$385,572.53",$0.00,$0.00,"$256,844.05"
9/13/2025,"-$128,801.14","$379,807.37",$0.00,$0.00,"$251,006.23"
9/12/2025,"-$128,801.14","$380,681.83",$0.00,$0.00,"$251,880.69"
9/11/2025,"-$128,801.14","$378,270.75",$0.00,$0.00,"$249,469.61"
9/10/2025,"-$128,801.14","$374,498.80",$0.00,$0.00,"$245,697.66"
9/09/2025,"-$129,039.64","$368,805.27",$0.00,$0.00,"$239,765.63"
9/06/2025,"-$129,039.64","$366,469.81",$0.00,$0.00,"$237,430.17"
9/05/2025,"-$129,039.64","$370,438.15",$0.00,$0.00,"$241,398.51"
9/04/2025,"-$129,072.52","$369,435.21",$0.00,$0.00,"$240,362.69"
9/03/2025,"-$129,072.52","$363,476.58",$0.00,$0.00,"$234,404.06"
9/02/2025,"-$129,072.52","$367,292.15",$0.00,$0.00,"$238,219.63"
8/30/2025,"-$129,072.52","$367,292.15",$0.00,$0.00,"$238,219.63"
8/29/2025,"-$129,072.52","$367,954.77",$0.00,$0.00,"$238,882.25"
8/28/2025,"-$129,072.52","$367,242.41",$0.00,$0.00,"$238,169.89"
8/27/2025,"-$129,072.52","$367,143.19",$0.00,$0.00,"$238,070.67"
8/26/2025,"-$129,072.52","$366,518.47",$0.00,$0.00,"$237,445.95"
8/23/2025,"-$129,072.52","$365,420.16",$0.00,$0.00,"$236,347.64"
8/22/2025,"-$129,072.52","$356,085.69",$0.00,$0.00,"$227,013.17"
8/21/2025,"-$129,072.52","$356,709.22",$0.00,$0.00,"$227,636.71"
8/20/2025,"-$129,072.52","$360,225.80",$0.00,$0.00,"$231,153.28"
8/19/2025,"-$129,072.52","$364,573.01",$0.00,$0.00,"$235,500.49"
8/16/2025,"-$129,072.52","$364,593.98",$0.00,$0.00,"$235,521.46"
8/15/2025,"-$129,072.52","$364,794.79",$0.00,$0.00,"$235,722.27"
8/14/2025,"-$129,072.52","$365,378.46",$0.00,$0.00,"$236,305.94"
8/13/2025,"-$129,072.52","$361,755.09",$0.00,$0.00,"$232,682.57"
8/12/2025,"-$129,072.52","$356,436.29",$0.00,$0.00,"$227,363.77"
8/09/2025,"-$129,072.52","$357,391.36",$0.00,$0.00,"$228,318.84"
8/08/2025,"-$129,072.52","$355,164.49",$0.00,$0.00,"$226,091.97"
8/07/2025,"-$129,072.52","$354,139.59",$0.00,$0.00,"$225,067.07"
8/06/2025,"-$129,072.52","$353,068.62",$0.00,$0.00,"$223,996.10"
8/05/2025,"-$129,113.02","$354,462.66",$0.00,$0.00,"$225,349.64"
8/02/2025,"-$129,113.02","$347,663.27",$0.00,$0.00,"$218,550.26"
8/01/2025,"-$129,113.02","$353,744.83",$0.00,$0.00,"$224,631.81"
7/31/2025,"-$129,113.02","$357,981.96",$0.00,$0.00,"$228,868.94"
7/30/2025,"-$129,113.02","$357,492.01",$0.00,$0.00,"$228,378.99"
7/29/2025,"-$129,113.02","$357,927.37",$0.00,$0.00,"$228,814.35"
7/26/2025,"-$129,113.02","$352,803.80",$0.00,$0.00,"$223,690.78"
7/25/2025,"-$129,113.02","$353,297.53",$0.00,$0.00,"$224,184.52"
7/24/2025,"-$129,113.02","$353,045.21",$0.00,$0.00,"$223,932.19"
7/23/2025,"-$129,113.02","$348,722.88",$0.00,$0.00,"$219,609.86"
7/22/2025,"-$129,117.12","$349,651.53",$0.00,$0.00,"$220,534.41"
7/19/2025,"-$129,117.12","$347,017.22",$0.00,$0.00,"$217,900.10"
7/18/2025,"-$129,117.12","$347,213.72",$0.00,$0.00,"$218,096.60"
7/17/2025,"-$129,117.12","$344,860.89",$0.00,$0.00,"$215,743.77"
7/16/2025,"-$129,117.12","$344,139.74",$0.00,$0.00,"$215,022.62"
7/15/2025,"-$129,117.12","$338,415.28",$0.00,$0.00,"$209,298.16"
7/12/2025,"-$129,117.12","$338,400.69",$0.00,$0.00,"$209,283.57"
7/11/2025,"-$129,117.12","$338,470.54",$0.00,$0.00,"$209,353.42"
7/10/2025,"-$129,117.12","$334,892.29",$0.00,$0.00,"$205,775.17"
7/09/2025,"-$154,814.16","$359,795.57",$0.00,$0.00,"$204,981.41"
7/08/2025,"-$154,814.16","$358,690.95",$0.00,$0.00,"$203,876.79"
7/05/2025,"-$154,844.28","$364,871.05",$0.00,$0.00,"$210,026.77"
7/04/2025,"-$154,844.28","$364,871.05",$0.00,$0.00,"$210,026.77"
7/03/2025,"-$154,844.28","$362,925.94",$0.00,$0.00,"$208,081.66"
7/02/2025,"-$154,848.87","$357,117.37",$0.00,$0.00,"$202,268.50"
7/01/2025,"-$154,848.87","$360,210.14",$0.00,$0.00,"$205,361.27"
6/28/2025,"-$154,987.87","$363,038.84",$0.00,$0.00,"$208,050.97"
6/27/2025,"-$154,987.87","$353,619.31",$0.00,$0.00,"$198,631.44"
6/26/2025,"-$154,987.87","$350,255.84",$0.00,$0.00,"$195,267.97"
6/25/2025,"-$154,987.87","$349,902.23",$0.00,$0.00,"$194,914.36"
6/24/2025,"-$154,987.87","$346,260.25",$0.00,$0.00,"$191,272.38"
6/21/2025,"-$154,987.87","$341,049.78",$0.00,$0.00,"$186,061.91"
6/20/2025,"-$154,987.87","$344,393.56",$0.00,$0.00,"$189,405.69"
6/19/2025,"-$154,987.87","$344,393.56",$0.00,$0.00,"$189,405.69"
6/18/2025,"-$154,987.87","$343,803.34",$0.00,$0.00,"$188,815.47"
6/17/2025,"-$154,987.87","$348,151.66",$0.00,$0.00,"$193,163.79"
6/14/2025,"-$155,060.53","$342,710.82",$0.00,$0.00,"$187,650.29"
6/13/2025,"-$155,060.53","$346,475.08",$0.00,$0.00,"$191,414.55"
6/12/2025,"-$155,060.53","$348,254.71",$0.00,$0.00,"$193,194.18"
6/11/2025,"-$155,060.53","$350,916.84",$0.00,$0.00,"$195,856.31"
6/10/2025,"-$155,060.53","$342,752.75",$0.00,$0.00,"$187,692.22"
6/07/2025,"-$126,560.83","$310,157.54",$0.00,$0.00,"$183,596.71"
6/06/2025,"-$126,560.83","$304,650.45",$0.00,$0.00,"$178,089.62"
6/05/2025,"-$126,560.83","$314,025.11",$0.00,$0.00,"$187,464.28"
6/04/2025,"-$126,588.50","$313,901.71",$0.00,$0.00,"$187,313.21"
6/03/2025,"-$126,588.50","$311,671.30",$0.00,$0.00,"$185,082.80"
5/31/2025,"-$126,588.50","$311,049.70",$0.00,$0.00,"$184,461.20"
5/30/2025,"-$126,588.50","$316,441.16",$0.00,$0.00,"$189,852.65"
5/29/2025,"-$126,588.50","$314,417.80",$0.00,$0.00,"$187,829.30"
5/28/2025,"-$126,588.50","$317,499.85",$0.00,$0.00,"$190,911.35"
5/27/2025,"-$126,588.50","$308,542.54",$0.00,$0.00,"$181,954.03"
5/24/2025,"-$126,588.50","$308,542.54",$0.00,$0.00,"$181,954.03"
5/23/2025,"-$126,588.50","$311,160.33",$0.00,$0.00,"$184,571.82"
5/22/2025,"-$126,588.50","$309,603.27",$0.00,$0.00,"$183,014.76"
5/21/2025,"-$126,588.50","$313,147.22",$0.00,$0.00,"$186,558.72"
5/20/2025,"-$126,588.50","$314,245.62",$0.00,$0.00,"$187,657.11"
5/17/2025,"-$126,588.50","$316,403.08",$0.00,$0.00,"$189,814.58"
5/16/2025,"-$126,588.50","$313,697.50",$0.00,$0.00,"$187,109.00"
